PAR([mmol (photons) m-2 s-1]),Tradescantia_avg,Tradescantia_std,Peperomia_avg,Peperomia_std,Monalisa_avg,Monalisa_std,Philodendron_avg,Philodendron_std,Chlorophytum_avg,Chlorophytum_std,Sphatophilum_avg,Sphatophilum_std
0,-1.4055762143624433,0.5110625620510845,-0.1646072243619069,0.4042964001175347,-4.670410728095487e-06,3.4927469244800606e-06,-0.0558865497795388,0.11005608860145169,-1.3419949009151221e-05,4.413630017199749e-06,-0.06505818274062576,0.19512500167231392
1,-1.3207150964360093,0.48307280793721263,-0.1168689800059255,0.35390102287019404,0.046275314307389376,0.03435262588045936,0.03152973744797221,0.162387896212226,0.13275509067023875,0.0433130024942379,0.10049454653568826,0.18841325483441576
2,-1.237879035740446,0.4562619063075627,-0.07112924353536734,0.3110435109628763,0.09172786202438686,0.06760159496532166,0.10852284590442486,0.21423629379675382,0.2627277168634574,0.08505080826961892,0.2593234781264819,0.1911763961486683
3,-1.1569945113930422,0.4306198214127182,-0.027227937580678107,0.2766519951830521,0.13638302042418773,0.09979442089202853,0.17762648015371207,0.26139555772065604,0.39000034396119876,0.12529240859662033,0.4119232041075176,0.20172089409203686
4,-1.0779916081215328,0.4061439368456037,0.014977060060518398,0.25181435853850487,0.18026921584970912,0.1309789917316336,0.24050281491416226,0.3041451890109467,0.5146642224190615,0.164116078651034,0.5587321845721575,0.21806820033682622
5,-1.0008037935741443,0.3828396386886462,0.0556124627824914,0.23739176665116982,0.22341336682941546,0.1612003138691787,0.29830531586817277,0.34321082589978114,0.6368062560429736,0.2015953278291724,0.7001412879698317,0.2384732761617363
6,-0.9253677121974051,0.36072097154561633,0.09479168988667161,0.23346521004817503,0.2658409879506654,0.19050072737193077,0.3518706270000307,0.3792231652385544,0.756509268434873,0.23779923381966414,0.8365007399895573,0.2616260290580714
7,-0.8516229942418868,0.33981132477331,0.13261663391927891,0.23901196452349988,0.30757628503768336,0.21892010228902462,0.4018276104727335,0.41266977461752163,0.8738522495849524,0.27279274961036376,0.968125825282027,0.2866216329333581
8,-0.7795120785989315,0.32014407189633654,0.16917914643887264,0.252160900693171,0.3486422424840061,0.24649601781970076,0.44866297419698853,0.44392177647951064,0.9889105843423686,0.30663698594163,1.0953016025957294,0.3128565972226241
9,-0.7089800482984153,0.3017630360008741,0.20456229401511108,0.27080932709073335,0.3890607034948479,0.27326392606641287,0.49276268019818315,0.4732647608730897,1.1017562643239922,0.3393894714548185,1.2182868325898284,0.33993088929893556
10,-0.6399744776106238,0.2847225859728526,0.23884142553998838,0.29311331023814424,0.4288524439121099,0.2992573018960018,0.5344391261898589,0.5009227387508357,1.212458084667623,0.3711043925528202,1.3373172721754374,0.36757652792214673
11,-0.5724452897960778,0.2690870861459947,0.27208508366103784,0.3176670507687809,0.46803724022214616,0.3245077802630744,0.5739496001786218,0.5270751654494006,1.3210818268997961,0.40183281478399785,1.4526084552492062,0.39561027315091946
12,-0.5063446246371537,0.25492933990403677,0.3043557867141742,0.34347673014952385,0.5066339322825327,0.3490452822014068,0.6115091801879672,0.5518687874634318,1.4276904290667938,0.4316228873786079,1.564358053994892,0.42390345187273315
13,-0.44162671496579353,0.24232761967692223,0.33571070249633095,0.36986582454842903,0.5446604812478031,0.3728981305588431,0.6472999832635106,0.5754258951239708,1.5323441441689811,0.4605200324048683,1.672747895334246,0.45236293969413177
14,-0.37824777147370714,0.23136091931572875,0.36620223124541323,0.396381937651463,0.582134023124431,0.39609315643639964,0.6814779470713672,0.5978501298910709,1.6351006878415741,0.4885671198677568,1.7779456920331063,0.48091916474130075
15,-0.3161658751561101,0.22210227416008832,0.39587851204178504,0.4227253392527508,0.6190709183413989,0.4186557971910689,0.7141779020818937,0.619230629432531,1.7360153761380792,0.5158046299452496,1.8801065362754352,0.5095184861445096
16,-0.2553408767981279,0.2146104250831429,0.4247838643270657,0.44869906241109897,0.6554867976837685,0.4406101867724063,0.7455174330844412,0.6396450345181379,1.8351412541947407,0.5422708034421481,1.9793741943786973,0.5381183003816831
17,-0.1957343029652377,0.20892072667030231,0.45295917421277543,0.47417531813275027,0.6913966049021184,0.46197923908386596,0.7755998661444437,0.6591617077228982,1.9325292164843615,0.5680017814392863,2.0758822341288505,0.566683859161908
18,-0.1373092680061769,0.20503683580884052,0.48044223361687366,0.49907314004767606,0.7268146362800264,0.4827847249897346,0.8045166124335533,0.6778413990435032,2.028228119304973,0.5930317350243071,2.169755010509792,0.5951861705077408
19,-0.08003039161918277,0.20292504204693917,0.5072680389387456,0.5233434810037563,0.7617545774144237,0.5030473435262761,0.8323490314116518,0.6957385178507227,2.1222848860921775,0.6173929859081377,2.2611085310517973,0.6236005920539395
20,-0.023863721570757987,0.20251280568435356,0.5334690548995744,0.5469592014158333,0.7962295374392944,0.5227867878203716,0.8591699294633759,0.7129021205056774,2.2147446060929137,0.6411161186576687,2.3500512183705613,0.6519058712059459
21,0.03122333880919486,0.20369210865938023,0.5590754482861942,0.5699082740543614,0.8302520809014157,0.5420218061696844,0.8850447783015549,0.729376689534576,2.3056506268923145,0.664230085209004,2.436684584518882,0.6800834767718024
22,0.08526209870065588,0.2063269470203325,0.5841152956040594,0.5921891203678216,0.8638342574773885,0.5607702586944703,0.9100327152764451,0.7452027577186722,2.3950446412436412,0.6867623022661833,2.5211038293779335,0.7081171227566885
23,0.13828264375154212,0.21026327427804137,0.6086147680387216,0.6138073747222241,0.896987629703764,0.5790491699319406,0.9341873720151413,0.7604174150969081,2.4829667686135934,0.7087387421367014,2.6033983733598958,0.7359924202871156
24,0.19031389621108993,0.21533936098239384,0.6325982966212715,0.6347736167627616,0.9297232988764522,0.5968747777090472,0.9575575665136626,0.7750547262925626,2.569455631821131,0.7301840175068919,2.683652333089583,0.7636966160311761
25,0.24138367150568682,0.22139488421337386,0.6560887200726321,0.6551017682311893,0.9620519292615509,0.6142625785981701,0.9801878855646282,0.789146078194701,2.654548429116967,0.7511214606166422,2.761944947410075,0.7912183898284576
26,0.29151873150296104,0.2282777890920149,0.6791074174492309,0.6748079512680916,0.9939837707471183,0.6312273702320732,1.0021191783201218,0.8027204728201047,2.7382810020227555,0.7715731972535534,2.8383509599619017,0.818547693507702
27,0.3407448346905373,0.23584869754565918,0.7016744274162376,0.6939096708384324,1.025528680054038,0.6477832907292457,1.0233889772450089,0.8158047764681396,2.820687899223443,0.7915602159510258,2.9129409636738575,0.8456756188970217
28,0.3890867834781795,0.2439831466720238,0.7238085557244672,0.7124252271682758,1.0566961406138866,0.6639438554580679,1.0440318592838969,0.828423933601755,2.901802436782974,0.8111024327425108,2.985781711742003,0.8725942869783627
29,0.43656846881591815,0.2525721734959557,0.74552747225524,0.730373292941159,1.087495281212449,0.6797219913478252,1.0640797574462244,0.8406011519327291,2.9816567549323403,0.8302187517949282,3.0569363990345026,0.8992967527384341
30,0.4832129123060228,0.2615217909242229,0.7668477988175315,0.7477726094991073,1.1179348934891806,0.6951300689362178,1.0835622309966566,0.8523580637465997,3.060281871659669,0.848927122217719,3.126464917321837,0.925776921991174
31,0.5290423059732176,0.27075181599273807,0.7877851887283314,0.7646417696230228,1.1480234483753384,0.7101799323264262,1.1025067008698601,0.863714867426426,3.1377077333143517,0.8672445913199046,3.1944240872770084,0.95202947759419
32,0.5740780498452185,0.2801943910180176,0.8083543990759843,0.7809990636865654,1.1777691115466589,0.7248829272118331,1.1209386556995213,0.8746904523227849,3.213963262421155,0.8851873545656146,3.2608678698043523,0.97804981324941
33,0.6183407874843884,0.2897924240612078,0.8285693564537986,0.7968623724247388,1.2071797579602264,0.7392499271129592,1.1388818328801729,0.8853025094986566,3.2890764028854793,0.9027708024585963,3.3258475589268923,1.0038339735946518
34,0.6618504396009602,0.2994980847192885,0.848443216854491,0.8122490941139082,1.2362629855395593,0.753291357958941,1.1563583783071598,0.8955676304012573,3.363074162757441,0.9200095645680537,3.3894119581814426,1.0293785996420624
35,0.7046262358687945,0.3092714272579477,0.867988420332623,0.8271760972105138,1.265026128066781,0.767017221134778,1.1733889878201402,0.905501395142001,3.435982654710111,0.9369175508915893,3.451607542229963,1.0546808788571138
36,0.7466867450559203,0.31907917145806225,0.8872167409700675,0.8416596918363962,1.2934762673360938,0.7804371151055264,1.189993032875133,0.9151184517743265,3.5078271343758733,0.9535079907359062,3.5124786051888504,1.0797384993349115
37,0.7880499035741031,0.3288936464747835,0.9061393326170304,0.8557156151984951,1.3216202446185175,0.793560255719484,1.2061886725637398,0.9244325877278463,3.5786320366745072,0.9697934692821003,3.5720673969993837,1.1045496076435792
38,0.8287330425443111,0.3386918892029574,0.9247667708268268,0.8693590272749001,1.3494646714839658,0.8063954952841194,1.221992953766069,0.9334567943720663,3.648421010256971,0.9857859619897499,3.630414249008311,1.1291127699838361
39,0.8687529134681782,0.34845488201042984,0.9431090913553015,0.8826045140166334,1.3770159400232151,0.8189513405009523,1.2374219009510414,0.9422033255332767,3.7172169501801537,1.0014968669824325,3.6875576897937257,1.1534269363705743
40,0.9081257125893065,0.3581669123681651,0.9611758255544619,0.8954660959954345,1.404280232509067,0.8312359693387268,1.2524905969122877,0.950683750666262,3.7850420289196904,1.0169370355467138,3.7435345521550656,1.1774914075835936
41,0.9468671040224917,0.3678150369829556,0.9789760329537521,0.9079572409363235,1.4312635305330605,0.8432572469179548,1.2672132555406785,0.9589090032823101,3.8519177258205635,1.0321168008669444,3.7983800720845853,1.2013058046656528
42,0.9849922417236407,0.3773886343434625,0.9965183312906974,0.9200908789555171,1.4579716236513782,0.8550227404742056,1.2816032875783065,0.966889425152066,3.9178648550782804,1.0470460051092703,3.852127980449057,1.22487004076989
43,1.022515790368235,0.3868790314191048,1.0138109242247961,0.9318794196124108,1.4844101175711142,0.8665397334622965,1.2956733601678192,0.9746348067326482,3.9829035923371356,1.0617340249601062,3.904810588032703,1.2481842951777518
44,1.0594519452016644,0.3962791922053662,1.0308616269440072,0.9433347701026789,1.510584441905797,0.8778152388587879,1.3094354509007462,0.9821544242104026,4.047053499986182,1.0761897957167603,3.956458864524189,1.2712489893242231
45,1.0958144509205507,0.40558345767838183,1.04767788985155,0.954468354085683,1.5364998575269662,0.8888560117158174,1.3229008969752778,0.9894570735016507,4.110333551228147,1.0904218340210203,4.007102511970443,1.294064764680487
46,1.1316166196402964,0.4147873284079919,1.0642668205016015,0.9652911307661433,1.5621614635366978,0.8996685610153328,1.3360804399948265,0.996551101512124,4.172762152991559,1.1044382593200937,4.056770033167061,1.3166324623557217
47,1.1668713480005073,0.42388728254731634,1.0806352039355496,0.9758136139470218,1.587574203884197,0.910259160869121,1.3489842668712964,1.0034444349201794,4.234357167751662,1.1182468141334698,4.105488795408289,1.3389531042900606
48,1.2015911334565896,0.43288062316813225,1.0967895215554229,0.9860458908449142,1.6127428736479625,0.9206338611066865,1.361622047239341,1.0101446067183277,4.295135934321507,1.131854883198811,4.153285089977975,1.3610278759200556
49,1.2357880898027362,0.44176534996167754,1.1127359686577742,0.9959976405162952,1.6376721250035295,0.9307984972899577,1.3740029677384284,1.0166587807212069,4.355115287670572,1.1452695115650289,4.200184187726178,1.3828581102065647
50,1.2694739619686497,0.4505400511977011,1.1284804707394096,1.0056781517867552,1.6623664728954213,0.9407587001909715,1.3861357634769371,1.0229937742252846,4.414311577824621,1.158497421696048,4.246210391043253,1.4044452729228327
51,1.3026601401296771,0.45920381255589643,1.1440286986757502,1.0150963406089561,1.6868303004306726,0.9505199047661033,1.398028746955728,1.0291560789856495,4.472740687897094,1.1715450296445278,4.291387082514096,1.4257909491078866
52,1.3353576731675614,0.46775614003733756,1.1593860828631546,1.0242607668007644,1.7110678640101098,0.9600873586580106,1.4096898346967741,1.035151880657881,4.5304180512991605,1.1844184603508428,4.335736770509175,1.446896830597184
53,1.3675772815167067,0.4761968946506886,1.174557826408063,1.0331796501346526,1.7350832982124922,0.9694661302542658,1.4211265717947403,1.0409870768377203,4.587358668172626,1.1971235621189902,4.379281131945628,1.4677647045488071
54,1.399329369428716,0.48452623696740965,1.1895489174382354,1.0418608857643965,1.7588806204456215,0.9786611163296367,1.4323461545852894,1.0466672938178732,4.64357712108712,1.2096659203177034,4.422041052430871,1.4883964428894594
55,1.430624036685962,0.4927445799676627,1.204364140604569,1.050312058986347,1.7824637353775892,0.987677049297089,1.4433554516028135,1.05219790216942,4.6990875900405245,1.2220508703519117,4.464036663982413,1.5087939926100542
56,1.4614710897930883,0.5008525488672402,1.219008087835839,1.0585404593410037,1.805836439160487,0.9965185040908896,1.4541610229818414,1.0575840312448523,4.753903866799111,1.2342835099467908,4.5052873805007065,1.528959366845871
57,1.491880052673624,0.5088509468364005,1.233485168403242,1.0665530940668086,1.829002423458098,1.0051899047035715,1.4647691384401675,1.0628305826904496,4.808039368611806,1.2463687107839427,4.545811931156744,1.5488946366810792
58,1.5218601768972515,0.5167407257028732,1.2477996183466427,1.0743567009226005,1.8519652792883574,1.0136955303970745,1.47518579396748,1.0679422430474548,4.8615071513307955,1.2583111295267342,4.585628391842416,1.5686019236219368
59,1.5514204514617866,0.5245229608806877,1.261955509309968,1.0819577603983264,1.874728500690687,1.0220395216070066,1.485416727330704,1.0729234955141316,4.914319921968877,1.2701152182695055,4.624754214819306,1.5880833926871354
60,1.5805696121525061,0.5321988298897878,1.2759567568291512,1.0893625073357602,1.8972954882276671,1.0302258855577204,1.4954674324961386,1.0777786309342043,4.966490050722125,1.28178523444318,4.663206256690444,1.607341246067676
61,1.609316150500142,0.539769593933369,1.2898071281123906,1.0965769419823137,1.9196695523299265,1.038258501604728,1.5053431730586304,1.0825117580712853,5.018029582484768,1.2933252502078063,4.701000804809431,1.6263777173122564
62,1.6376683223576483,0.5472365820844126,1.3035102493491602,1.1036068405017672,1.941853916492576,1.0461411263199116,1.515048994759268,1.0871268132236065,5.068950247881653,1.3047391613606618,4.738153602232174,1.6451950659975099
63,1.6656341561146768,0.5546011777031166,1.3170696125814423,1.1104577649660103,1.9638517203310126,1.0538773983339786,1.5245897371653165,1.0916275692286173,5.119263473842152,1.316030695786832,4.774679871308164,1.663795572845528
64,1.6932214605676361,0.5618648067654064,1.3304885821679082,1.117135072851807,1.985666022503428,1.0614708429496877,1.533970044579177,1.0960176439027365,5.1689803937380825,1.3272034214775132,4.810594336000639,1.6821815352540075
65,1.7204378324621912,0.5690289278315399,1.343770400869325,1.1236439260662467,2.0072998035069305,1.0689248765385135,1.5431943762369604,1.1003005079576753,5.218111857106867,1.3382607541397937,4.8459112430181195,1.7003552632069783
66,1.7472906637241334,0.5760950234246581,1.3569181955811938,1.1299892995240006,2.028755968353769,1.0762428107326087,1.5522670158517426,1.104479492431278,5.266668438980006,1.3492059644202286,4.880644381833485,1.7183190755365756
67,1.7737871483936427,0.583064592623405,1.36993498273761,1.1361759892988315,2.0500373491337647,1.0834278564232078,1.5611920805516029,1.1085577956676613,5.314660448835816,1.3600421847632054,4.914807103661073,1.736075296508566
68,1.7999342892771617,0.5899391447015401,1.3828236734084371,1.142208620371018,2.071146707468692,1.0904831275758806,1.5699735292580983,1.1125384898785857,5.362097939194299,1.3707724159238632,4.948412339457012,1.7536262527064546
69,1.8257389043302956,0.5967201936717396,1.3955870781102198,1.1480916539915196,2.092086736864031,1.0974116448724485,1.5786151705468372,1.1164245273153952,5.408990713871108,1.3813995331541578,4.981472617003225,1.7709742701909397
70,1.8512076327844573,0.6034092536112902,1.408227911349671,1.1538293946828322,2.112860064963178,1.1042163391887487,1.5871206700281983,1.120218746078514,5.455348335906559,1.391926292079583,5.01400007713117,1.788121671913267
71,1.8763469410292504,0.6100078346647233,1.4207487959171772,1.1594259968955858,2.1334692557089356,1.110900054916887,1.5954935572830182,1.1239238755893468,5.501180135184832,1.4023553342830604,5.046006489137331,1.8050707753627007
72,1.901163128261975,0.6165174396331675,1.4331522669464443,1.1648854713390382,2.1539168114168006,1.1174655531400919,1.6037372323851187,1.1275425417474803,5.546495215757694,1.4126891926115324,5.077503265438827,1.8218238904298536
73,1.9256623319150212,0.6229395610727181,1.4454407757552294,1.1702116910027316,2.1742051747643347,1.1239155146678108,1.6118549720399133,1.1310772717943085,5.591302462886276,1.4229302962199224,5.108501475514073,1.8383833174690167
74,1.9498505328713334,0.6292756788347778,1.4576166934809998,1.1754083968857068,2.1943367307006603,1.1302525429382266,1.6198499353659228,1.1345304989025848,5.635610549813759,1.433080975366295,5.1390118591703535,1.8547513455439388
75,1.9737335604776338,0.6355272579904422,1.4696823145243643,1.180479203448814,2.214313808279888,1.1364791667949559,1.6277251693438624,1.1379045665099201,5.67942794428113,1.4431434659712363,5.169044839177267,1.8709302508427064
76,1.9973170973645331,0.6416957470887799,1.4816398598122045,1.1854276038048552,2.2341386824220764,1.1425978431442936,1.6354836139559807,1.1412017324128974,5.722762914797529,1.4531199139537883,5.198610533302387,1.8869222952484581
77,2.0206066840822405,0.6477825767055468,1.4934914798915724,1.1902569746604845,2.253813575605147,1.1486109594990077,1.64312810703655,1.144424172637229,5.7656235366761415,1.4630123793555336,5.227718765783018,1.9027297250537218
78,2.043607723560093,0.6537891582445999,1.5052392578646612,1.19497058102305,2.273340659490951,1.1545208364143296,1.6506613888527575,1.147573985098249,5.808017697845987,1.472822840263812,5.256379078265709,1.9183547698070729
79,2.0663254853977278,0.6597168829592128,1.5168852121744243,1.1995715806848335,2.29272205648856,1.1603297298214799,1.6580861064337773,1.1506531930649884,5.849953104449462,1.4825531965444299,5.284600740243083,1.9337996412816763
80,2.0887651099953275,0.6655671211647464,1.5284312992497608,1.2040630284964544,2.311959841257647,1.1660398332637565,1.6654048176644316,1.1536637484401373,5.891437286234988,1.4922052733936533,5.312392759015626,1.9490665325561107
81,2.1109316125299746,0.6713412216177997,1.5398794160185785,1.2084478804405547,2.3310560421547004,1.1716532800399317,1.6726199951586211,1.156607534867297,5.932477601753614,1.5017808247187385,5.33976388920431,1.9641576171985684
82,2.1328298867848097,0.6770405110401411,1.551231402296478,1.212728997516254,2.350012642624655,1.1771721452594446,1.679734029926563,1.1594863706761362,5.973081243368031,1.5112815363557428,5.366722641838281,1.9790750485462176
83,2.154464708837367,0.6826662937684624,1.5624890430582856,1.2169091494442852,2.3688315825403894,1.1825984478136242,1.6867492348488506,1.1623020116753182,6.01325524208201,1.520709029132909,5.393277293040287,1.9938209590721576
